,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_225,45.0,4.060999999999922,0,2511,0,0,0,40314,63626,153157468,111977613,28440157,283376,52661936,1168424,435975,1124
run_226,49.70000000000073,0.09699999999997999,0,2451,0,0,1,40864,63940,160150103,115557601,30169272,285186,53135719,1026179,521823,877
run_227,41.70000000000073,7.86200000000008,0,2525,0,0,0,40733,64642,154056194,104798527,25897369,270323,52414340,1358667,396137,1000
run_228,49.30000000000109,0.07699999999999818,0,2445,0,0,0,40524,63504,153402892,110033925,27732892,269499,52517764,1233485,435941,1047
run_229,45.20000000000073,4.079000000000065,0,2529,0,0,1,40610,64522,155597654,114952152,29221110,288069,52534493,1267278,437677,1859
run_230,45.100000000000364,3.828000000000088,0,2517,0,0,2,40260,63764,157045735,102826622,25187782,259318,52038414,1510933,343894,1250
run_231,49.400000000001455,0.08699999999998909,0,2491,0,0,1,40732,62356,151917677,110683063,27821509,274286,52774367,1226238,435123,1245
run_232,49.399999999999636,0.08500000000003638,0,2444,0,0,0,40710,63664,153462460,114474510,29546021,285934,52786547,1069442,471120,1508
run_233,45.899999999999636,3.6170000000000755,0,2515,0,0,0,40652,63926,164942475,116053446,30311467,290136,53013333,937533,527248,1038
run_234,49.399999999999636,0.0,0,2453,0,0,0,40510,63886,154113146,107377547,26694163,273779,52503707,1283077,411440,1248
run_235,49.0,0.0,0,2555,0,0,1,40274,64670,154051767,113074765,28529565,284347,52418639,1349347,432697,694
run_236,45.79999999999927,4.040000000000077,0,2441,0,0,1,40898,63362,157931132,115325153,29883336,284897,52845856,1025521,510946,491
run_237,49.29999999999927,0.0,0,2527,0,0,1,40386,64462,154607531,106095152,26133469,265015,52254506,1276862,398285,849
run_238,45.600000000000364,3.941000000000031,0,2457,0,0,0,40618,64080,151726888,112195844,28270719,281618,52643520,1186399,444197,695
run_239,45.600000000000364,4.093999999999937,0,2492,0,0,0,40750,62290,155186347,115923096,29722396,287379,52935556,1036535,487282,705
run_240,48.69999999999891,0.0,0,2442,0,0,0,39884,63460,156378850,103649748,25397146,264539,51983348,1536192,363029,327
run_241,45.5,3.9049999999999727,0,2517,0,0,0,40634,64010,152519630,112712489,28552521,283704,52602871,1158388,458340,581
run_242,45.600000000000364,4.102000000000089,0,2517,0,0,0,40895,63920,156101720,115475951,29899010,291808,52954326,1035708,491739,707
run_243,45.69999999999891,3.8630000000000564,0,2555,0,0,1,40680,64648,154300374,102407694,25105046,262738,52317191,1365603,384697,581
run_244,49.399999999999636,0.0,0,2442,0,0,0,40498,63382,155606459,107904868,26866300,274230,52460611,1284357,412247,673
run_245,48.900000000001455,0.0,0,2561,0,0,0,40009,64508,155097518,113465593,28684980,280623,52285248,1276517,427901,286
run_246,49.5,0.0,0,2458,0,0,1,40520,64160,154784146,102637453,24892803,265893,52243764,1362702,373164,731
run_247,46.0,3.6660000000000537,0,2490,0,0,0,40788,62218,155506066,108439621,27024274,268757,52644167,1303133,420017,483
run_248,45.0,4.061999999999898,0,2442,0,0,0,40260,63372,153158098,112319127,28351820,279528,52463579,1158633,458325,507
run_249,45.0,4.062999999999988,0,2515,0,0,0,40215,63980,158073604,113792522,29680595,285064,52812928,1269448,467806,299
run_250,46.0,3.8829999999999245,0,2518,0,0,1,41162,64042,153838988,106110033,26479436,275038,52572347,1387166,415590,519
run_251,48.70000000000073,0.04399999999998272,0,2554,0,0,0,40051,64448,155567529,110245077,27639077,268263,52208802,1412621,408656,289
run_252,45.600000000000364,4.099999999999909,0,2443,0,0,0,40894,63490,158789170,115161140,30029981,283028,52848952,1020447,497622,766
run_253,45.399999999999636,3.8450000000000273,0,2530,0,0,1,40434,64554,155633649,104531620,25563600,265035,52122458,1339360,390317,428
run_254,49.5,0.08799999999996544,0,2524,0,0,0,40756,64350,151216910,109627226,27797699,274136,52766790,1246472,433066,1100
run_255,50.100000000000364,0.1209999999999809,0,2523,0,0,0,41352,62094,152153064,113804218,29510376,284422,53086114,1148024,471324,431
run_256,45.0,4.057000000000016,0,2442,0,0,1,40128,63330,157941836,114713780,29636050,276242,52441893,1221548,461148,1091
run_257,45.70000000000073,3.865000000000009,0,2515,0,0,0,40714,63990,154430661,106555442,26451062,271342,52457335,1343243,413733,460
run_258,45.20000000000073,4.0779999999999745,0,2453,0,0,0,40516,63968,152755350,112171442,28316053,284293,52609775,1178611,451853,587
run_259,45.100000000000364,4.071000000000026,0,2524,0,0,0,40427,64612,158208410,114736448,29692973,287591,52640417,1256250,472070,365
run_260,45.70000000000073,3.86099999999999,0,2439,0,0,0,40625,63156,153671317,105395307,26121841,271734,52540341,1364256,400179,824
run_261,49.100000000000364,0.06600000000003092,0,2530,0,0,0,40363,64640,152847204,111049806,27833346,270096,52409695,1190820,447595,443
run_262,45.19999999999891,4.076999999999998,0,2529,0,0,0,40396,64672,155845328,114775982,29588236,282320,52635339,1018334,493720,589
run_263,41.69999999999891,7.8700000000000045,0,2428,0,0,0,40813,61938,154505379,105071361,25840013,266322,52582791,1373010,399237,472
run_264,48.899999999999636,0.05599999999992633,0,2440,0,0,0,40221,63356,156772143,109321302,27413763,264660,52192650,1442361,397110,615
run_265,49.399999999999636,0.08299999999996999,0,2514,0,0,0,40701,63862,155743589,115219586,29742526,283580,52795504,1028270,492597,454
run_266,45.79999999999927,3.863999999999919,0,2516,0,0,0,40746,64030,155939862,104148576,25506184,268015,52270260,1361220,382901,886
run_267,49.20000000000073,0.06899999999995998,0,2527,0,1,1,40463,64792,164759951,115632323,30350112,285122,52914835,925204,528817,516
run_268,49.100000000000364,0.06200000000001182,0,2438,0,0,0,40353,63052,156282844,107489673,26806059,265189,52285839,1407057,398032,1222
run_269,48.70000000000073,0.0,0,2524,0,0,1,40069,64012,155124486,113663030,29195162,286084,52374338,1258609,436894,514
run_270,45.20000000000073,3.6700000000000728,0,2533,0,0,0,40016,65194,157074117,104501355,25633749,258262,51959633,1464576,359903,819
run_271,49.399999999999636,0.07999999999992724,0,2429,0,0,0,40650,62036,152844350,112966800,28622932,291148,52819180,1166262,456515,799
run_272,41.399999999999636,8.094000000000051,0,2504,0,0,0,40630,63336,158278633,115162210,29782534,284263,52711257,1019119,499638,821
run_273,49.19999999999891,0.0,0,2512,0,0,0,40318,63676,154545280,104296921,25720796,269034,52445404,1362941,391882,1036
run_274,49.899999999999636,0.0,0,2452,0,0,0,40919,64102,151492774,111643085,28011787,278850,52701785,1202292,443202,1428
run_275,49.79999999999927,0.07299999999997908,0,2525,0,0,0,40952,64628,151661976,114574876,29425129,285632,52938340,1117229,485079,1395
run_276,45.5,4.088999999999942,0,2505,0,0,2,40651,63310,159009196,115055266,29873678,285846,52782455,1028437,503552,896
run_277,45.600000000000364,3.8590000000000373,0,2524,0,0,0,40661,64134,153298714,105006452,25773596,265369,52358299,1349632,405752,966
run_278,44.899999999999636,4.057000000000016,0,2532,0,0,0,40194,65002,156253389,108564499,27179927,263363,52245205,1328939,396699,1750
run_279,49.80000000000109,0.10800000000006094,0,2428,0,0,0,41100,62028,153147479,114881952,29588051,291059,53150443,1133258,481183,1193
run_280,45.600000000000364,4.100999999999999,0,2505,0,0,0,40959,63436,161346792,115582695,30099839,284677,52947850,1021379,509230,1007
run_281,41.70000000000073,7.868000000000052,0,2510,0,0,0,40684,63612,154113383,105248918,25974941,272548,52458355,1353292,401053,1450
run_282,45.400000000001455,4.086000000000013,0,2515,0,0,0,40659,64082,153002798,110296838,27678416,271840,52546034,1227886,436412,1284
run_283,49.399999999999636,0.07599999999990814,0,2524,0,0,1,40592,64568,155260889,114993356,29081153,301461,52409931,1303659,430022,1588
run_284,49.399999999999636,0.0,0,2447,0,0,0,40578,63634,154969413,102656548,24721161,263710,52184868,1372343,381175,1326
run_285,45.399999999999636,3.937000000000012,0,2524,0,0,0,40452,64096,155167864,108658811,27007642,268325,52362458,1265578,428013,1043
run_286,49.600000000000364,0.0,0,2525,0,0,0,40855,64448,152085787,113830982,29263278,285827,52745044,1109618,464282,1651
run_287,49.69999999999891,0.0,0,2432,0,0,0,40892,62418,158973912,115791603,30061018,282519,53207487,1031169,513757,976
run_288,49.0,0.0,0,2501,0,0,2,40141,63290,156534046,104139769,25624108,262608,52036827,1528988,360682,1289
run_289,49.70000000000073,0.0,0,2450,0,0,1,40990,63828,150933184,111893471,28543070,289713,52799703,1197667,461768,1239
run_290,45.399999999999636,4.038999999999987,0,2455,0,0,0,40578,64162,154654261,115535591,29547122,288652,52726982,1046347,476087,2719
run_291,45.69999999999891,3.8700000000000045,0,2520,0,0,0,40803,64326,155146789,103276725,24807487,270447,52333461,1376227,385208,1544
run_292,49.399999999999636,0.0,0,2443,0,0,0,40575,63448,155353672,108071528,26874369,268953,52519426,1284534,417450,2449
run_293,44.80000000000109,3.908999999999992,0,2529,0,0,0,39922,64438,155136711,113017489,28783675,283232,52212352,1284983,429883,939
run_294,45.399999999999636,3.849999999999909,0,2459,0,0,0,40472,64292,154513089,104152301,25590040,265803,52267105,1354443,386986,1375
run_295,45.5,4.093000000000075,0,2435,0,0,0,40826,62634,152751263,110221520,27749966,277603,52741651,1238786,435817,1365
run_296,46.100000000000364,3.592999999999961,0,2435,0,0,0,40847,62994,150868652,114675940,29454301,284338,52921409,1130578,477378,1881
run_297,45.20000000000073,4.072999999999979,0,2455,0,0,0,40438,64124,161077464,114787733,30051882,285914,52918270,1009096,515832,1062
run_298,48.70000000000073,0.03499999999996817,0,2452,0,0,0,39970,64038,157714912,107757565,26821329,274916,52279518,1479032,387911,623
