run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
117,35.0552,50.7788,10271386,29942065,,8186,26245809,768198,47192,1454
118,69.281,49.729,12766441,41259150,,79019,20501248,404378,31356,13157
119,35.0781,50.05,9943466,30401721,,8315,22695362,659967,50699,13189
120,35.656,76.814,9876196,31496122,,8246,24350623,724521,50039,1699
121,55.6792,51.9419,9260005,41840996,,31808,15448773,430884,41400,19253
122,35.5569,49.8389,9613056,31069834,,7906,25305091,766924,46911,1926
123,35.0681,52.0369,9910942,30766235,,7851,22614346,656423,51174,14250
124,68.679,47.552,12758673,41321145,,79162,20575685,405990,31733,13385
125,35.345,73.9209,10265448,30878364,,8102,26177991,764361,46658,1359
126,35.1399,49.248,9998731,30850786,,9930,24076722,709502,51657,3022
127,66.3398,51.48,10238343,42163681,,47838,14613309,429467,33199,17289
128,35.113,52.2151,9437104,30639978,,8550,24960458,759632,47676,1284
129,35.2019,51.5229,9487419,30921816,,8036,25205614,783202,47852,1525
130,64.8479,51.6709,10420497,42202958,,47515,14752957,430086,30889,16624
131,35.27,51.969,9474606,30985403,,8249,25419114,781226,48648,1363
132,35.1689,51.606,9954197,30949117,,8214,25906511,768389,48501,1553
133,69.103,51.375,14141259,45032813,,80273,20705622,413372,20124,13361
134,35.8091,75.053,9504494,31734721,,8176,24864365,738014,50458,2143
135,35.449,51.5168,10241860,31624098,,8282,23524939,677013,58324,4087
136,55.7429,75.7,9346213,41307721,,33979,15417488,413652,36747,17250
137,35.7971,46.2559,9349507,33050435,,7964,21470483,610947,51563,17303
138,35.1011,50.4111,9315450,30605652,,8619,25206225,767955,48114,1517
139,35.2102,49.7639,10044786,31006634,,8196,24032289,701520,58697,3639
140,35.3689,50.8718,9553193,31750853,,8629,24676659,736089,53796,1397
141,35.123,50.968,9553001,30779666,,8015,24552404,732751,48708,1654
142,76.9539,51.6082,13084796,40994896,,79391,20514583,428041,26391,12180
143,35.178,51.5129,8835141,32486968,,8242,20619833,606383,48858,15436
144,35.9509,52.853,10143239,32006115,,7882,22169852,616529,50394,15949
145,70.7581,46.687,12992576,41029213,,77782,20379883,429728,30483,13752
146,35.064,47.5242,9373413,31785088,,7870,21658412,637876,51252,16544
147,35.3689,48.658,9147384,33454958,,7808,21357861,612585,51886,15529
148,56.7209,50.1531,9060695,40391997,,30824,15421264,417222,35905,16966
149,35.146,50.2209,9753751,31547724,,8037,22296258,650027,52457,15902
150,35.4949,50.679,10143867,32186357,,8015,26298061,772187,51559,1674
151,56.2649,49.4661,9023795,40487989,,29701,15437486,411935,41861,17332
152,35.145,49.541,10160710,30405344,,7971,23613716,689308,53184,4384
153,35.4719,51.2339,9646994,31388964,,7950,24500720,725482,54632,1839
154,68.7651,51.2759,12666255,41267963,,78617,20388989,397714,31174,13276
155,35.9451,50.052,9274034,33600711,,8018,21186287,594508,57583,16460
156,35.1709,50.7419,9895706,30422817,,8478,24101972,708939,51160,2659
157,65.469,49.7671,10096216,41661371,,49531,14900289,465776,32650,17547
158,35.5559,49.9412,9508921,31997135,,7773,21763953,645102,54152,17092
159,35.218,50.853,9944200,31066668,,8295,24228211,716026,54749,2725
160,67.7781,49.8918,12902916,41227063,,78559,20408430,399402,29349,12770
161,35.2661,75.0308,9503893,30939955,,8381,25502046,777316,47614,1378
162,35.218,51.1008,10265031,30864018,,8344,26230264,772175,49847,1603
163,75.311,46.6401,12994388,41180846,,79346,20425080,421776,27410,12068
164,35.375,48.7949,10170733,31365048,,8262,26043004,769568,52068,1718
165,35.2739,47.825,8402838,33849220,,5050,19361075,587309,51337,15833
166,72.9299,49.666,12905997,41046009,,79415,20640469,414381,28674,12712
167,35.321,49.625,9702733,31288919,,8121,24992675,721046,49035,1953
168,35.3811,51.8259,10082539,30898891,,8448,23829223,694954,54547,3931
169,73.2549,51.199,13109285,40986694,,78891,20694749,442822,26910,11849
170,35.2478,49.1531,10178835,30771525,,8131,22947733,660405,54081,9402
171,35.3701,51.2649,10148084,31121830,,8395,23799914,689424,54619,3563
172,65.6418,50.9609,9918310,40199147,,49550,14905616,458647,31150,16598
173,35.167,49.709,10125256,30660380,,8018,23803239,692749,50025,3600
174,35.105,51.8362,9726285,31219147,,8227,22197473,640781,54520,15633
175,63.6318,47.4529,9848065,41449456,,43166,15049770,421106,31982,16050
176,35.1851,51.061,10665798,30890777,,8143,26537753,762935,48696,1879
177,35.3508,47.8169,9460140,30401793,,9595,25388069,769431,49294,1496
178,69.2371,52.2441,12896329,41063844,,78316,20507219,410629,28658,12435
179,35.5479,75.3101,9641756,31118187,,7922,25591364,777598,47824,1612
180,35.373,47.7109,8917154,33176149,,7991,20663831,606791,50051,14366
181,69.1741,50.5781,12921892,41089564,,80320,20475110,409170,28902,12789
182,35.189,51.791,9470147,31716554,,8151,21734357,635392,53564,16299
183,35.124,47.739,8414855,33094340,,6129,19632373,598119,51295,16595
184,65.104,52.259,10179151,42500229,,46308,14774182,433268,33820,17978
185,35.1069,47.7939,10049781,30573918,,8419,25958803,754199,47949,1479
186,35.1431,52.866,10219190,30664949,,8238,23000963,671076,51105,7979
187,70.251,50.821,12924436,41066332,,79659,20554942,412692,29285,12780
188,35.386,76.019,10321323,30928139,,8126,26156917,755741,48758,1724
189,35.6692,77.104,10241605,31169824,,7915,22934655,673018,49219,7465
190,62.79,50.7659,10113094,40986235,,44958,15343102,452130,31514,16724
191,35.384,49.3191,10219268,30865627,,7987,23511266,677864,48393,3531
192,35.2542,50.7219,9965586,31001025,,7967,24128575,710088,47433,2211
193,68.4099,49.8821,12964885,41147663,,79068,20426817,416791,27280,11953
194,35.2559,52.708,10031621,30672162,,8317,23973469,698584,52559,3112
195,35.2141,52.0278,10052247,30771195,,8339,23880193,690220,48912,3406
196,75.4319,52.5488,12704765,41318921,,80085,20317712,392036,32618,13229
197,35.3572,51.2151,9972111,31140239,,8511,24139703,716349,50416,2206
